Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/03  20:00:00,2.627093133,2.892003884,0,2.847496417,0,0.073324659,0.073324659,0.073324659,0.789349925,0.170046944,0.315345897,0.646166599,0.61621511
 01/03  21:00:00,2.425522981,3.022804917,0,2.976767343,0,0.07672785,0.07672785,0.07672785,0.680252812,0.146544516,0.275874928,0.668380946,0.561097929
 01/03  22:00:00,2.197842707,3.220545637,0,3.17558287,0,0.081897996,0.081897996,0.081897996,0.5711557,0.123042104,0.258342283,0.652776722,0.493983903
 01/03  23:00:00,1.786541256,3.513542122,0,3.47463261,0,0.089575719,0.089575719,0.089575719,0.429971094,0.092627195,0.205880856,0.564894597,0.386947796
 01/03  24:00:00,1.370632779,3.802594577,0,3.768782935,0,0.097141466,0.097141466,0.097141466,0.295204003,0.063594789,0.135920782,0.490882893,0.271244846
 01/04  01:00:00,0.969503107,4.84771541,0,4.819748031,0,0.124574781,0.124574781,0.124574781,0.154019476,0.033179897,0.086369242,0.406034923,0.148680788
 01/04  02:00:00,0.80521594,5.476667903,0,5.450917315,0,0.140536885,0.140536885,0.140536885,0.089844728,0.019354937,0.072238755,0.37385121,0.092745425
 01/04  03:00:00,0.746657767,5.683751193,0,5.658299162,0,0.145263636,0.145263636,0.145263636,0.064174796,0.013824955,0.059715255,0.369516703,0.077518421
 01/04  04:00:00,0.742667462,5.851579365,0,5.826485603,0,0.149195207,0.149195207,0.149195207,0.064174796,0.013824955,0.052611026,0.364315295,0.081902183
 01/04  05:00:00,0.788222862,6.021003307,0,5.996857465,0,0.153337211,0.153337211,0.153337211,0.064174796,0.013824955,0.063151709,0.350553236,0.126536955
 01/04  06:00:00,1.033845916,5.897369288,0,5.870424469,0,0.150037399,0.150037399,0.150037399,0.064174796,0.013824955,0.075981488,0.391189237,0.321994041
 01/04  07:00:00,1.610691434,5.757003247,0,5.725871159,0,0.146045222,0.146045222,0.146045222,0.147602041,0.031797395,0.129758031,0.451980695,0.686864051
 01/04  08:00:00,2.02050615,5.807393604,0,5.774313428,0,0.147270461,0.147270461,0.147270461,0.301621517,0.064977292,0.207405929,0.480263352,0.787323599
 01/04  09:00:00,1.953742715,5.923072522,0,5.895105144,0,0.150430074,0.150430074,0.150430074,0.288786568,0.062212303,0.268690649,0.406034923,0.760944199
 01/04  10:00:00,1.705978954,6.047697435,0,6.023894935,0,0.153687028,0.153687028,0.153687028,0.147602041,0.031797395,0.330033496,0.345568553,0.680646442
 01/04  11:00:00,1.625398722,6.913293329,0,6.888931033,0,0.176396141,0.176396141,0.176396141,0.121932142,0.026267417,0.34487662,0.353695754,0.585586648
 01/04  12:00:00,1.531614942,5.952133386,0,5.927763626,0,0.151160154,0.151160154,0.151160154,0.121932142,0.026267417,0.361119726,0.353804116,0.500687387
 01/04  13:00:00,1.446021323,5.806107883,0,5.78214864,0,0.147017571,0.147017571,0.147017571,0.121932142,0.026267417,0.351845974,0.347844169,0.43447005
